city_name,h3_id,hex_geom,buildings_in_hex,buildings_with_access,access_pct
Paris,8a1fb4670ccffff,"POLYGON((2.3102680177571 48.8395661735802, 2.309365906499 48.8394020178152, 2.30917679967071 48.8387581443378, 2.30988979088323 48.83827843273, 2.3107918821055 48.8384425902469, 2.31098100215078 48.8390864576197, 2.3102680177571 48.8395661735802))",7,7,100
Paris,8a1fb4675b17fff,"POLYGON((2.33279799588177 48.8668159029238, 2.3318956169858 48.8666520931709, 2.33170622654122 48.866008473178, 2.3324192017763 48.8655286690422, 2.33332156061798 48.865692480552, 2.3335109642786 48.8663360944406, 2.33279799588177 48.8668159029238))",22,22,100
Paris,8a1fb46622f7fff,"POLYGON((2.3715076193686 48.8561727746637, 2.37060564023942 48.856009238887, 2.37041594291674 48.8553657490031, 2.37112821153383 48.8548858010063, 2.37203017061524 48.8550493385518, 2.37221988112703 48.8556928223253, 2.3715076193686 48.8561727746637))",18,18,100
Paris,8a1fb4662117fff,"POLYGON((2.35540876287932 48.8623900954428, 2.35450659064703 48.8622264557305, 2.35431701527555 48.8615829212198, 2.35502959893498 48.8611030325292, 2.3559317511156 48.8612666740053, 2.35612133968816 48.8619102024082, 2.35540876287932 48.8623900954428))",7,7,100
Paris,8a1fb4662867fff,"POLYGON((2.35929894914432 48.8697957697501, 2.35839669033399 48.8696322048556, 2.35820705748605 48.8689887285154, 2.35891967024608 48.8685088231771, 2.35982190899977 48.868672389836, 2.36001155504979 48.8693158600689, 2.35929894914432 48.8697957697501))",12,12,100
Paris,8a1fb46752dffff,"POLYGON((2.34340049727821 48.8535098884855, 2.34249838320155 48.8533460958274, 2.34230894129079 48.8527024561699, 2.3430216002523 48.8522226152777, 2.34392369428336 48.8523864096966, 2.34411314939822 48.8530300432469, 2.34340049727821 48.8535098884855))",22,22,100
Paris,8a1fb46706d7fff,"POLYGON((2.3225316425931 48.8289993219117, 2.32162976523523 48.8288352128571, 2.32144058366502 48.8281913423563, 2.32215326624707 48.8277115870174, 2.32305512357595 48.827875697828, 2.32324431835148 48.8285195622214, 2.3225316425931 48.8289993219117))",15,15,100
Paris,8a1fb4660b6ffff,"POLYGON((2.381187508959 48.8889847387431, 2.38028509921605 48.8888214694253, 2.38009521356013 48.8881782008909, 2.38080772444894 48.887698207782, 2.38171011412216 48.8878614788695, 2.38190001297598 48.8885047412961, 2.381187508959 48.8889847387431))",6,6,100
Paris,8a1fb4673997fff,"POLYGON((2.32685174999818 48.8291758977752, 2.32594989680336 48.8290118269085, 2.32576067670039 48.8283679781719, 2.32647329658901 48.8278882064098, 2.32737512975465 48.8280522790337, 2.32756436306055 48.8286961216625, 2.32685174999818 48.8291758977752))",12,12,100
Paris,8a1fb475bb27fff,"POLYGON((2.31472109033158 48.8866856467428, 2.31381830193706 48.8865217921083, 2.31362900818324 48.8858781908615, 2.31434248958853 48.8853984503487, 2.31524525791586 48.8855623067337, 2.31543456490478 48.8862059018809, 2.31472109033158 48.8866856467428))",32,32,100
Paris,8a1fb46634d7fff,"POLYGON((2.3833285676799 48.8528339571523, 2.38242671205708 48.8526705045196, 2.38223692137924 48.8520270539659, 2.3829489731431 48.8515470621573, 2.38385080872023 48.8517105165624, 2.38404061257889 48.8523539610037, 2.3833285676799 48.8528339571523))",12,12,100
Paris,8a1fb4666c6ffff,"POLYGON((2.33463692082316 48.8817702761979, 2.33373432958804 48.8816065657077, 2.33354487600507 48.8809630342116, 2.33425800043543 48.8804832193086, 2.33516057160631 48.8806469315554, 2.33535003841079 48.8812904569487, 2.33463692082316 48.8817702761979))",24,24,100
Paris,8a1fb4662d47fff,"POLYGON((2.34951801355126 48.8655856106598, 2.34861575691124 48.8654219380455, 2.34842622328984 48.8647783921211, 2.34913893310228 48.8642985249175, 2.35004116968858 48.8644621992937, 2.35023071651584 48.8651057391116, 2.34951801355126 48.8655856106598))",27,27,100
Paris,8a1fb4662a4ffff,"POLYGON((2.37273918198699 48.8661410262708, 2.37183706146114 48.8659775567172, 2.37164732196704 48.8653341257889, 2.37235968980573 48.8648541705236, 2.37326179027719 48.8650176418458, 2.37345154296404 48.8656610666646, 2.37273918198699 48.8661410262708))",20,20,100
Paris,8a1fb46708b7fff,"POLYGON((2.31035497831529 48.845676402016, 2.30945277628281 48.8455122810659, 2.30926364954888 48.8448684404819, 2.30997671162753 48.8443887269518, 2.31087889362013 48.8445528496535, 2.31106803357367 48.8451966841336, 2.31035497831529 48.845676402016))",16,16,100
Paris,8a1fb46667affff,"POLYGON((2.34096430136862 48.8713438681666, 2.3400619054474 48.8711801540082, 2.33987242895721 48.8705365974841, 2.34058533517461 48.8700567612232, 2.34148771103842 48.8702204771405, 2.34167720074191 48.8708640275598, 2.34096430136862 48.8713438681666))",11,11,100
Paris,8a1fb464424ffff,"POLYGON((2.39500362251212 48.8403329935943, 2.39410202644601 48.8401695717148, 2.39391217256012 48.8395261111631, 2.39462390157136 48.8390460786062, 2.39552547759991 48.8392095022623, 2.39571534465449 48.8398529566986, 2.39500362251212 48.8403329935943))",11,11,100
Paris,8a1fb464511ffff,"POLYGON((2.40587080000508 48.8453469861796, 2.40496919677248 48.8451836858158, 2.40477923169783 48.8445403044077, 2.40549085669087 48.8440602294795, 2.40639243988244 48.8442235316227, 2.40658241812171 48.8448669069147, 2.40587080000508 48.8453469861796))",12,12,100
Paris,8a1fb4660d47fff,"POLYGON((2.36114405337874 48.8847474297616, 2.36024158231294 48.8845839641881, 2.36005188621938 48.883940576361, 2.36076464798377 48.8834606602133, 2.36166709898296 48.883624127551, 2.36185680828407 48.8842675092722, 2.36114405337874 48.8847474297616))",16,16,100
Paris,8a1fb4666d87fff,"POLYGON((2.32489761655248 48.8806125623162, 2.323994982191 48.8804487614726, 2.32380561793807 48.879805176878, 2.32451887481979 48.8793253992287, 2.32542148911796 48.8794892018262, 2.32561086659744 48.8801327803191, 2.32489761655248 48.8806125623162))",15,15,100
Paris,8a1fb467549ffff,"POLYGON((2.32013374144637 48.8498922231526, 2.31923153703072 48.8497282099365, 2.31904231106947 48.849084438881, 2.31975527630771 48.8486046871463, 2.32065746068056 48.8487687021166, 2.32084669985767 48.8494124670674, 2.32013374144637 48.8498922231526))",19,19,100
Paris,8a1fb467392ffff,"POLYGON((2.33069289125135 48.8335309345013, 2.32979099684056 48.8333669209941, 2.32960172932104 48.8327231139004, 2.3303143430094 48.8322433264217, 2.33121621738806 48.8324073416871, 2.33140549811022 48.833051142673, 2.33069289125135 48.8335309345013))",19,19,100
Paris,8a1fb46707a7fff,"POLYGON((2.31611682503075 48.8333170432396, 2.31521484339628 48.8331529030107, 2.31502570470374 48.8325090245184, 2.31573853443447 48.8320292923611, 2.31664049603716 48.832193434344, 2.31682964794062 48.8328373067302, 2.31611682503075 48.8333170432396))",37,37,100
Paris,8a1fb4662907fff,"POLYGON((2.35283912186544 48.8710610156926, 2.35193680396365 48.8708974022269, 2.35174722393465 48.8702539014598, 2.35245994860083 48.8697740202647, 2.35336224644524 48.8699376354929, 2.35355183968057 48.8705811301536, 2.35283912186544 48.8710610156926))",25,25,100
Paris,8a1fb467136ffff,"POLYGON((2.36159104278644 48.8428001973582, 2.36068920184283 48.8426365016, 2.36049963367937 48.8419928927888, 2.36121189327027 48.8415129858466, 2.36211371417514 48.8416766833715, 2.36230329552755 48.8423202860719, 2.36159104278644 48.8428001973582))",7,7,100
Paris,8a1fb46618affff,"POLYGON((2.39681235708923 48.8869397726575, 2.39591007532019 48.8867766264616, 2.39572005878172 48.8861334224772, 2.396432310824 48.8856533707986, 2.39733457252445 48.8858165187689, 2.39752460225091 48.8864597166432, 2.39681235708923 48.8869397726575))",2,2,100
Paris,8a1fb4629aeffff,"POLYGON((2.27978312519747 48.8608354161503, 2.2788805072077 48.8606711163409, 2.27869160205764 48.8600272092132, 2.27940530165324 48.8595476079931, 2.28030789959355 48.8597119095443, 2.28049681798743 48.8603558105739, 2.27978312519747 48.8608354161503))",19,19,100
Paris,8a1fb467098ffff,"POLYGON((2.31092240595519 48.8476078821082, 2.31002017857056 48.8474437768147, 2.30983104079355 48.8467999492324, 2.31054411718072 48.8463202330474, 2.31144632452418 48.8464843400925, 2.31163547552134 48.847128161571, 2.31092240595519 48.8476078821082))",9,9,100
Paris,8a1fb46718b7fff,"POLYGON((2.34060412995646 48.8469095041639, 2.33970209717326 48.8467456506118, 2.33951270056303 48.8461019623829, 2.34022532353293 48.8456221338138, 2.34112733627498 48.8457859891263, 2.34131674608801 48.8464296712476, 2.34060412995646 48.8469095041639))",11,11,100
Paris,8a1fb46660dffff,"POLYGON((2.34371664828295 48.8748889096156, 2.34281421641976 48.87472523894, 2.34262470458521 48.8740817145601, 2.34333761140031 48.8736018669606, 2.34424002320372 48.8737655393958, 2.34442954825152 48.8744090576709, 2.34371664828295 48.8748889096156))",6,6,100
Paris,8a1fb4661c9ffff,"POLYGON((2.38859682541896 48.8793650181549, 2.38769460581087 48.8792017589403, 2.38750468533402 48.8785584749456, 2.38821697127554 48.8780784562755, 2.38911917082019 48.8782417172625, 2.38930910448647 48.8788849951472, 2.38859682541896 48.8793650181549))",16,16,100
Paris,8a1fb46710e7fff,"POLYGON((2.34967739709905 48.8400278041192, 2.34877552352073 48.839863990318, 2.34858606875433 48.839220309292, 2.34929847437139 48.8387404481768, 2.35020032791301 48.8389042637413, 2.35038979587397 48.8395479386578, 2.34967739709905 48.8400278041192))",17,17,100
Paris,8a1fb466452ffff,"POLYGON((2.34294069081038 48.8954577895505, 2.34203794623427 48.8952942269598, 2.34184837657301 48.8946508084421, 2.34256153826487 48.8941709586172, 2.3434642627675 48.894334522966, 2.34365384565147 48.8949779353815, 2.34294069081038 48.8954577895505))",5,5,100
Paris,8a1fb46632d7fff,"POLYGON((2.40226680198704 48.8562644584483, 2.40136501310089 48.8561011879887, 2.40117504529405 48.8554578471575, 2.40188685320162 48.8549777829003, 2.40278862203952 48.8551410551376, 2.40297860301782 48.8557843898544, 2.40226680198704 48.8562644584483))",22,22,100
Paris,8a1fb4676b5ffff,"POLYGON((2.29686442433524 48.8462689536958, 2.29596212986379 48.8461047198423, 2.29577311996316 48.8454608174345, 2.2964863913061 48.8449811549823, 2.29738866573753 48.8451453905834, 2.29757768886576 48.8457892868891, 2.29686442433524 48.8462689536958))",15,15,100
Paris,8a1fb46666a7fff,"POLYGON((2.34201109850289 48.8690970809605, 2.34110874269576 48.8689333632839, 2.34091926405639 48.8682897998467, 2.34163212801216 48.8678099601914, 2.34253446376336 48.8679736796275, 2.34272395561444 48.8686172369594, 2.34201109850289 48.8690970809605))",7,7,100
Paris,8a1fb4670587fff,"POLYGON((2.30533606079765 48.8344021835113, 2.30443399613143 48.8342379564785, 2.30424494885411 48.833594031806, 2.30495795302512 48.8331143402708, 2.30585999765904 48.8332785690544, 2.30604905815394 48.8339224876224, 2.30533606079765 48.8344021835113))",8,8,100
Paris,8a1fb464654ffff,"POLYGON((2.36179128034228 48.8202947787536, 2.36088977679063 48.8201309592032, 2.360700277523 48.819487231909, 2.36141226862777 48.8190073302786, 2.36231375215559 48.8191711515969, 2.36250326460221 48.8198148727777, 2.36179128034228 48.8202947787536))",4,4,100
Paris,8a1fb4671da7fff,"POLYGON((2.33139433968399 48.8446268427354, 2.33049228383567 48.8444628971404, 2.3303029753583 48.8438191523724, 2.3310157095219 48.8433393593061, 2.3319177453307 48.8435033066589, 2.33210706701514 48.8441470453202, 2.33139433968399 48.8446268427354))",14,14,100
Paris,8a1fb4662c87fff,"POLYGON((2.34619739898599 48.860109726109, 2.34529520360559 48.8599459943507, 2.34510571638131 48.8593024032795, 2.34581841133179 48.8588225500734, 2.34672058666217 48.858986283593, 2.3469100870918 48.8596298685573, 2.34619739898599 48.860109726109))",18,18,100
Paris,8a1fb475bab7fff,"POLYGON((2.31463363221494 48.8805772787022, 2.31373093471262 48.8804133892409, 2.31354166089918 48.879769755017, 2.3142550713553 48.8792900163548, 2.31515774879448 48.8794539075669, 2.31534703584039 48.8800975356904, 2.31463363221494 48.8805772787022))",7,7,100
Paris,8a1fb46628c7fff,"POLYGON((2.35816115673141 48.8659348779613, 2.35725894859707 48.8657712817273, 2.35706933788867 48.8651277793533, 2.35778192211332 48.8646478793207, 2.35868411019361 48.864811477319, 2.35887373410302 48.8654549735854, 2.35816115673141 48.8659348779613))",17,17,100
Paris,8a1fb475a757fff,"POLYGON((2.28423376563132 48.8701780149147, 2.28333103542539 48.8700138055413, 2.28314206183666 48.8693699695761, 2.28385580520822 48.868890349082, 2.28475851535845 48.869054560198, 2.28494750219253 48.8696983900655, 2.28423376563132 48.8701780149147))",13,13,100
Paris,8a1fb466211ffff,"POLYGON((2.35702349715149 48.8620738299799, 2.35612133968816 48.8619102024082, 2.3559317511156 48.8612666740053, 2.35664430680609 48.8607867792819, 2.35754644421795 48.8609504086179, 2.3577360459905 48.8615939309129, 2.35702349715149 48.8620738299799))",7,7,100
Paris,8a1fb466078ffff,"POLYGON((2.37174048050331 48.871441368697, 2.37083827447807 48.8712779201206, 2.3706485270875 48.8706345125737, 2.37136097252623 48.870154559712, 2.37226315849355 48.8703180100564, 2.37245291907976 48.8709614114946, 2.37174048050331 48.871441368697))",24,24,100
Paris,8a1fb46604dffff,"POLYGON((2.36632719681269 48.8704605470242, 2.36542497177479 48.8702970463613, 2.36523527505172 48.8696536074702, 2.36594779016793 48.8691736753501, 2.36684999514863 48.8693371777795, 2.36703970507002 48.8699806105624, 2.36632719681269 48.8704605470242))",8,8,100
Paris,8a1fb464554ffff,"POLYGON((2.40363951880508 48.840679924937, 2.40273797139205 48.8405165793255, 2.40254804059652 48.8398731623531, 2.40325964404986 48.8393930971085, 2.40416117142497 48.839556444499, 2.40435111538438 48.8401998553551, 2.40363951880508 48.840679924937))",19,19,100
Paris,8a1fb467428ffff,"POLYGON((2.3099179679126 48.852909887295, 2.3090156550428 48.8527458029121, 2.30882650948814 48.8521019986852, 2.30953966357996 48.8516222849442, 2.31044195640509 48.8517863710781, 2.31063111518279 48.852430169202, 2.3099179679126 48.852909887295))",11,11,100
Paris,8a1fb466009ffff,"POLYGON((2.36964954675514 48.8759347518149, 2.36874726049083 48.8757713103083, 2.36855751734254 48.8751279165871, 2.36927004725948 48.8746479704806, 2.37017231346291 48.8748114137543, 2.37036206981001 48.8754548013675, 2.36964954675514 48.8759347518149))",9,9,100
Paris,8a1fb4660887fff,"POLYGON((2.36546661440475 48.8849212708852, 2.36456416762675 48.8847578435078, 2.36437443297707 48.8841144774598, 2.36508713189995 48.8836345448955, 2.36598955861117 48.8837979740382, 2.366179306466 48.8844413339799, 2.36546661440475 48.8849212708852))",15,15,100
Paris,8a1fb4670777fff,"POLYGON((2.3210050758545 48.8354252955028, 2.32010309303805 48.835261209127, 2.31991390475669 48.8346173653912, 2.32062668608246 48.8341376141375, 2.32152864886568 48.8343017022685, 2.32171785035606 48.8349455398979, 2.3210050758545 48.8354252955028))",33,33,100
Paris,8a1fb4672a17fff,"POLYGON((2.3122326282873 48.8259057950984, 2.31133073327104 48.8257415801026, 2.31114165194245 48.8250976435406, 2.31185445241993 48.8246179280808, 2.31275632740939 48.8247821448298, 2.31294542194787 48.8254260752854, 2.3122326282873 48.8259057950984))",4,4,100
Paris,8a1fb475b137fff,"POLYGON((2.30598492213601 48.8802253423765, 2.30508217628501 48.8800613764411, 2.30489297970392 48.8794176986952, 2.30560651573625 48.8789379929839, 2.3065092415245 48.8791019606676, 2.30669845134287 48.8797456323142, 2.30598492213601 48.8802253423765))",7,7,100
Paris,8a1fb467451ffff,"POLYGON((2.28887087889979 48.8539564509209, 2.28796842001413 48.8537921910605, 2.28777945639424 48.853148291057, 2.28849293842412 48.8526686570141, 2.28939537726477 48.8528329186194, 2.28958435412025 48.8534768125227, 2.28887087889979 48.8539564509209))",5,5,100
Paris,8a1fb475b067fff,"POLYGON((2.31406579645407 48.8786463786694, 2.31316312432914 48.8784824735459, 2.31297386157233 48.8778388262989, 2.31368725770817 48.8773590902759, 2.31458990977126 48.8775229971502, 2.31477918576001 48.8781666382967, 2.31406579645407 48.8786463786694))",19,19,100
Paris,8a1fb4672aeffff,"POLYGON((2.31707652219493 48.8249591896456, 2.31617467134492 48.8247950110896, 2.31598555038985 48.8241510928475, 2.31669826707782 48.8236713592686, 2.31760009790161 48.8238355395793, 2.31778923206338 48.8244794517142, 2.31707652219493 48.8249591896456))",5,5,100
Paris,8a1fb475b877fff,"POLYGON((2.30930431279387 48.8857023885559, 2.30840150553411 48.8855384817686, 2.30821226254931 48.8848948491967, 2.30892581358621 48.8844151295112, 2.30982860077949 48.8845790380475, 2.31001785700207 48.8852226645203, 2.30930431279387 48.8857023885559))",25,25,100
Paris,8a1fb46294affff,"POLYGON((2.26017934925104 48.8493398816138, 2.25927678195664 48.8491753488101, 2.25908808538342 48.8485312862127, 2.2598019428543 48.8480517625159, 2.26070449010726 48.8482162970563, 2.26089319993048 48.8488603535568, 2.26017934925104 48.8493398816138))",1,1,100
Paris,8a1fb46709affff,"POLYGON((2.3103984651684 48.8487314189764, 2.30949621774189 48.8485673154342, 2.30930708105357 48.8479234913016, 2.31002017857056 48.8474437768147, 2.31092240595519 48.8476078821082, 2.31111155586444 48.8482517001373, 2.3103984651684 48.8487314189764))",12,12,100
